Name,SMILES,Stereo_tag,Metal_Name,Metal_SMILES,Ligand_Name,Ligand_SMILES,Diazo_Name,Diazo_SMILES
M4_L79_D1,[Cu+].c1ccc([C@@H]2COC(c3ccc4ccccc4c3-c3c(C4=N[C@H](c5ccccc5)CO4)ccc4ccccc34)=N2)cc1.COC(=O)C(=[N+]=[N-])c1ccccc1,-1,M4,[Cu+],L79,c1ccc([C@@H]2COC(c3ccc4ccccc4c3-c3c(C4=N[C@H](c5ccccc5)CO4)ccc4ccccc34)=N2)cc1,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
M4_L80_D1,[Cu+].c1ccc([C@@H]2COC(c3ccc4ccccc4c3-c3c(C4=N[C@H](c5ccccc5)CO4)ccc4ccccc34)=N2)cc1.COC(=O)C(=[N+]=[N-])c1ccccc1,1,M4,[Cu+],L80,c1ccc([C@@H]2COC(c3ccc4ccccc4c3-c3c(C4=N[C@H](c5ccccc5)CO4)ccc4ccccc34)=N2)cc1,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
M4_L81_D1,[Cu+].c1ccc([C@@H]2COC(c3cccc4c3C3(CC4)CCc4cccc(C5=N[C@H](c6ccccc6)CO5)c43)=N2)cc1.COC(=O)C(=[N+]=[N-])c1ccccc1,1,M4,[Cu+],L81,c1ccc([C@@H]2COC(c3cccc4c3C3(CC4)CCc4cccc(C5=N[C@H](c6ccccc6)CO5)c43)=N2)cc1,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
M4_L82_D1,[Cu+].c1ccc(C[C@@H]2COC(c3cccc4c3C3(CC4)CCc4cccc(C5=N[C@H](Cc6ccccc6)CO5)c43)=N2)cc1.COC(=O)C(=[N+]=[N-])c1ccccc1,1,M4,[Cu+],L82,c1ccc(C[C@@H]2COC(c3cccc4c3C3(CC4)CCc4cccc(C5=N[C@H](Cc6ccccc6)CO5)c43)=N2)cc1,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
M4_L83_D1,[Cu+].CC(C)[C@@H]1COC(c2cccc3c2C2(CC3)CCc3cccc(C4=N[C@H](C(C)C)CO4)c32)=N1.COC(=O)C(=[N+]=[N-])c1ccccc1,1,M4,[Cu+],L83,CC(C)[C@@H]1COC(c2cccc3c2C2(CC3)CCc3cccc(C4=N[C@H](C(C)C)CO4)c32)=N1,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
M4_L84_D1,[Cu+].CC(C)(C)[C@@H]1COC(c2cccc3c2C2(CC3)CCc3cccc(C4=N[C@H](C(C)(C)C)CO4)c32)=N1.COC(=O)C(=[N+]=[N-])c1ccccc1,1,M4,[Cu+],L84,CC(C)(C)[C@@H]1COC(c2cccc3c2C2(CC3)CCc3cccc(C4=N[C@H](C(C)(C)C)CO4)c32)=N1,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
M4_L85_D1,[Cu+].c1ccc([C@@H]2COC(c3cccc4c3C3(CC4)CCc4cccc(C5=N[C@H](c6ccccc6)CO5)c43)=N2)cc1.COC(=O)C(=[N+]=[N-])c1ccccc1,-1,M4,[Cu+],L85,c1ccc([C@@H]2COC(c3cccc4c3C3(CC4)CCc4cccc(C5=N[C@H](c6ccccc6)CO5)c43)=N2)cc1,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
M4_L86_D1,[Cu+].c1cc2c(c(C3=NCCO3)c1)C1(CC2)CCc2cccc(C3=NCCO3)c21.COC(=O)C(=[N+]=[N-])c1ccccc1,1,M4,[Cu+],L86,c1cc2c(c(C3=NCCO3)c1)C1(CC2)CCc2cccc(C3=NCCO3)c21,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
M4_L87_D1,[Cu+].c1ccc([C@@H]2COC(c3cccc(C4=N[C@H](c5ccccc5)CO4)n3)=N2)cc1.COC(=O)C(=[N+]=[N-])c1ccccc1,0,M4,[Cu+],L87,c1ccc([C@@H]2COC(c3cccc(C4=N[C@H](c5ccccc5)CO4)n3)=N2)cc1,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
M4_L88_D1,[Cu+].CC(C)(C)P(c1ccccc1[C@@H]1N(c2ccccc2)C(=O)[C@H]2Cc3ccccc3N21)C(C)(C)C.COC(=O)C(=[N+]=[N-])c1ccccc1,0,M4,[Cu+],L88,CC(C)(C)P(c1ccccc1[C@@H]1N(c2ccccc2)C(=O)[C@H]2Cc3ccccc3N21)C(C)(C)C,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
